audio,alsa-utils,Utils to control sound card
audio,pavucontrol,Control panel for input hardware
audio,pipewire-alsa,Sound Architecture
audio,pipewire,Low level multimedia framework
audio,pipewire-pulse,Sound Middleware
audio,pulseaudio-alsa,ALSA Configuration for PulseAudio
audio,pulseaudio-bluetooth,Bluetooth support for PulseAudio
audio,pulsemixer,Alternative to pavucontrol in terminal
brave,brave-bin,Browser Brave (AUR)
chrome,google-chrome-beta,The popular web browser by Google (Beta Channel)
compression,p7zip,Compress / uncompress 7z files
compression,unzip,Compress / uncompress zip files
discord,discord,All-in-one voice and text chat for gamers
doublecmd,doublecmd,Graphical file manager
essential,autoconf,A GNU tool for automatically configuring source code
essential,automake,A GNU tool for automatically creating Makefiles
essential,base,Minimal package set to define a basic Arch Linux installation
essential,binutils,A set of programs to assemble and manipulate binary and object files
essential,bison,The GNU general-purpose parser generator
essential,fakeroot,Tool for simulating superuser privileges
essential,gcc,The GNU Compiler Collection - C and C++ frontends
essential,gdb,The GNU Debugger
essential,gettext,GNU internationalization library
essential,grep,A string search utility
essential,libtool,A generic library support script
essential,linux-firmware,Firmware files for Linux
essential,linux-headers,Headers and scripts for building modules for the Linux kernel
essential,linux-lts,The LTS Linux kernel and modules
essential,linux,The Linux kernel and modules
essential,m4,The GNU macro processor
essential,make,GNU make utility to maintain groups of programs
essential,man-db,A utility for reading man pages
essential,man,Manual
essential,man-pages,Manual pages
essential,mesa-libgl,opengl
essential,mtools,A collection of utilities to access MS-DOS disks
essential,openssh,Remote login tool for SSH protocol
essential,pacman,A library-based package manager with dependency support
essential,pacman-contrib,Contributed scripts and tools for pacman systems
essential,patch,A utility to apply patch files to original sources
essential,pkgconf,Package compiler and linker metadata toolkit
essentials,flex,A tool for generating text-scanning programs
essential,sudo,Give certain users the ability to run some commands as root
essential,sysstat,a collection of performance monitoring tools (iostat,isag,mpstat,pidstat,sadf,sar)
essential,tldr,Examples for CLIs
essential,which,A utility to show the full path of commands
essential,xdot,Interactive viewer for graphs written in Graphviz's dot language
essential,xf86-video-vesa,X.org vesa video driver
essential,xfig,An interactive drawing tool
essential,xorg-bdftopcf,Convert X font from Bitmap Distribution Format to Portable Compiled Format
essential,xorg-docs,X.org documentations
essential,xorg-fonts-100dpi,X.org 100dpi fonts
essential,xorg-fonts-75dpi,X.org 75dpi fonts
essential,xorg-fonts-encodings,X.org font encoding files
essential,xorg-font-util,X.Org font utilities
essential,xorg-iceauth,ICE authority file utility
essential,xorg-mkfontscale,Create an index of scalable font files for X
essential,xorg-server-common,Xorg server common files
essential,xorg-server-devel,Development files for the X.Org X server
essential,xorg-server-xephyr,A nested X server that runs as an X application
essential,xorg-server-xnest,A nested X server that runs as an X application
essential,xorg-server,Xorg X server
essential,xorg-server-xvfb,Virtual framebuffer X server
essential,xorg-sessreg,Register X sessions in system utmp/utmpx databases
essential,xorg-setxkbmap,Set the keyboard using the X Keyboard Extension
essential,xorg-smproxy,Allows X applications that do not support X11R6 session management to participate in an X11R6 session
essential,xorg-x11perf,Simple X server performance benchmarker
essential,xorg-xauth,X.Org authorization settings program
essential,xorg-xbacklight,RandR-based backlight control application
essential,xorg-xcmsdb,Device Color Characterization utility for X Color Management System
essential,xorg-xcursorgen,Create an X cursor file from PNG images
essential,xorg-xdpyinfo,Display information utility for X
essential,xorg-xdriinfo,Query configuration information of DRI drivers
essential,xorg-xev,Print contents of X events
essential,xorg-xgamma,Alter a monitor's gamma correction
essential,xorg-xhost,Server access control program for X
essential,xorg-xinit,Display server boot
essential,xorg-xinput,Small commandline tool to configure devices
essential,xorg-xkbcomp,X Keyboard description compiler
essential,xorg-xkbevd,XKB event daemon
essential,xorg-xkbutils,XKB utility demos
essential,xorg-xkill,Kill a client by its X resource
essential,xorg-xlsatoms,List interned atoms defined on server
essential,xorg-xlsclients,List client applications running on a display
